Name,Position,Status,Jersey,Height(in),Weight(lb),Salary($),Years Played,BirthCountry,BirthCity,College
Marcus Smart,PG,Active,36,76,220,17207141,8,USA,Flower Mound,Oklahoma State
Al Horford,C,Active,42,81,240,26500000,15,Dominican Republic,Puerto Plata,Florida
Blake Griffin,PF,Active,91,81,250,1836090,12,USA,Oklahoma City,Oklahoma
Noah Vonleh,C,Active,4,82,257,1836090,7,USA,Haverhill,Indiana
Danilo Gallinari,PF,Active,8,82,236,6479000,13,Italy,Sant'Angelo Lodigiano,None
Jaylen Brown,SF,Active,7,78,223,28741071,6,USA,Marietta,California
Malcolm Brogdon,SG,Active,13,76,229,22600000,6,USA,Norcross,Virginia
Jayson Tatum,PF,Active,0,80,210,28103500,5,USA,St. Louis,Duke
Justin Jackson,SF,Active,43,80,220,1836090,5,USA,Houston,North Carolina
Derrick White,SG,Active,9,76,190,16892857,5,USA,Parker,Colorado
Luke Kornet,C,Active,40,86,252,2133278,5,USA,Lexington,Vanderbilt
Robert Williams III,C,Active,44,81,237,10937502,4,USA,Shreveport,Texas A&M
Grant Williams,PF,Active,12,78,236,4306281,3,USA,Houston,Tennessee
Mfiondu Kabengele,C,Active,28,82,250,1701593,2,Canada,Burlington,Florida State
Payton Pritchard,PG,Active,11,73,185,2239200,2,USA,Tualatin,Oregon
Sam Hauser,PF,Active,30,79,217,1563518,1,USA,Green Bay,Virginia
JD Davison,PG,Active,20,73,195,10932075,0,USA,Letohatchee,Alabama
