Name,Position,Games,PPG,APG,RPG,DRPG,ORPG,SPG,BPG,PFPG,TPG,TSP,FGMPG,FGP,2PMPG,2PP,3PMPG,3PP,FTMPG,FTP
Marcus Smart,PG,75,9.25,3.95,2.74,0.59,2.15,1.14,0.35,1.75,1.54,43.2,3.1,32.1,1.64,37.0,1.46,28.0,1.59,65.3
Al Horford,PF,73,8.34,2.44,4.92,1.05,3.87,0.55,0.72,1.16,0.77,45.5,3.38,38.6,2.39,44.7,0.99,29.1,0.58,64.6
Jaylen Brown,SG,75,19.07,2.4,4.69,0.91,3.78,0.93,0.41,1.87,2.09,46.7,7.07,38.5,4.84,44.0,2.23,30.2,2.7,58.0
Jayson Tatum,SF,78,21.49,3.34,5.73,0.74,4.99,0.93,0.53,1.47,2.15,45.6,7.78,36.6,5.41,39.5,2.37,31.2,3.56,68.4
Derrick White,PG,75,12.92,3.47,2.86,0.4,2.46,0.73,0.74,1.39,1.38,46.4,4.48,36.2,2.91,42.8,1.57,28.2,2.4,66.9
Luke Kornet,C,29,3.23,0.47,1.31,0.25,1.0,0.16,0.5,1.07,0.16,44.0,1.17,33.6,0.56,57.6,0.61,24.3,0.22,62.1
Daniel Theis,C,75,6.65,1.13,4.2,1.37,2.83,0.42,0.7,1.96,0.71,50.1,2.65,44.5,2.21,50.4,0.44,28.0,0.91,58.6
Robert Williams III,C,72,6.62,1.41,5.62,1.91,3.71,0.67,1.41,0.72,0.82,57.9,2.9,57.9,2.89,57.7,0.01,0.0,0.81,50.1
Grant Williams,PF,79,2.14,0.51,1.4,0.42,0.98,0.23,0.24,1.65,0.41,43.0,0.77,34.2,0.46,44.9,0.31,25.2,0.3,54.4
Juwan Morgan,PF,29,0.44,0.16,0.61,0.16,0.42,0.0,0.0,0.56,0.0,46.1,0.16,43.4,0.16,43.4,0.0,0.0,0.04,80.7
Aaron Nesmith,SF,79,3.69,0.38,2.31,0.51,1.8,0.27,0.15,0.89,0.41,46.4,1.32,35.4,0.64,43.8,0.67,29.9,0.38,64.9
Payton Pritchard,PG,79,3.96,1.01,1.35,0.29,1.06,0.3,0.06,1.06,0.42,46.3,1.45,35.5,0.69,38.4,0.76,33.2,0.31,71.2
Brodric Thomas,SG,29,2.45,0.42,1.0,0.11,0.86,0.18,0.16,1.11,0.27,41.1,0.72,29.1,0.27,48.4,0.39,21.7,0.61,53.8
